cell_line,histotype_code,histotype_label,histotype_note,contributing_centre,patient_id,models_from_same_patient,selected_patient_model,rna_available,protein_available,copy_number_available,variants_available,rna_sample_id,rna_passage,wes_passage,tmt_plex,tmt_channel,stock_str_documentation,stock_mycoplasma_documentation,rna_pseudoalign_pct,rna_sequenced_fragments_M,rna_assigned_gene_counts_M,rna_genes_detected,prot_n_detected,prot_pct_missing,wes_n_coding,fga_autosome,cellosaurus_accession,str_profile_documented,problematic_flag,gene,panel_group,ranking_direction,rna_gene_ids,rna_tpm,rna_log2_tpm_plus1,protein_log2_normalised,protein_row,protein_uniprot,protein_isodoping,protein_unique_peptides_global,protein_quantified_peptides_global,rna_status,protein_status,rna_abundance_percentile,protein_abundance_percentile,rna_abundance_rank_desc,protein_abundance_rank_desc,rna_n_measured_models,protein_n_measured_models
VOA14993,CC,Clear cell carcinoma,consensus,BC Cancer-OVCARE,VOA14993,1,True,False,True,False,False,NA,NA,NA,3.0,ch6,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,NA,NA,NA,NA,7562.0,10.3,NA,NA,NA,False,NA,ERBB2,Surface,higher,ENSG00000141736,NA,NA,13.5349641888484,ERBB2,P04626,True,29,29,assay unavailable,quantified,NA,0.8333333333333334,NA,6.0,31,31
VOA6861,CC,Clear cell carcinoma,consensus,BC Cancer-OVCARE,VOA6861,1,True,True,False,False,False,VOA6861p17,p17,NA,NA,NA,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,88.0,80.2,70.6,21208.0,NA,NA,NA,NA,NA,False,NA,ERBB2,Surface,higher,ENSG00000141736,76.63745428685552,6.278680908096826,NA,ERBB2,P04626,True,29,29,measured,assay unavailable,0.7333333333333333,NA,9.0,NA,31,31
VOA14993,CC,Clear cell carcinoma,consensus,BC Cancer-OVCARE,VOA14993,1,True,False,True,False,False,NA,NA,NA,3.0,ch6,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,NA,NA,NA,NA,7562.0,10.3,NA,NA,NA,False,NA,FOLR1,Surface,higher,ENSG00000110195,NA,NA,13.59713724823837,FOLR1,P15328,False,12,12,assay unavailable,quantified,NA,1.0,NA,1.0,31,31
VOA6861,CC,Clear cell carcinoma,consensus,BC Cancer-OVCARE,VOA6861,1,True,True,False,False,False,VOA6861p17,p17,NA,NA,NA,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,88.0,80.2,70.6,21208.0,NA,NA,NA,NA,NA,False,NA,FOLR1,Surface,higher,ENSG00000110195,15.430483,4.038302986098208,NA,FOLR1,P15328,False,12,12,measured,assay unavailable,0.3,NA,22.0,NA,31,31
VOA14993,CC,Clear cell carcinoma,consensus,BC Cancer-OVCARE,VOA14993,1,True,False,True,False,False,NA,NA,NA,3.0,ch6,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,NA,NA,NA,NA,7562.0,10.3,NA,NA,NA,False,NA,MSLN,Surface,higher,ENSG00000102854,NA,NA,11.71866939828405,MSLN,Q13421,False,19,19,assay unavailable,quantified,NA,0.16666666666666666,NA,26.0,31,31
VOA6861,CC,Clear cell carcinoma,consensus,BC Cancer-OVCARE,VOA6861,1,True,True,False,False,False,VOA6861p17,p17,NA,NA,NA,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,88.0,80.2,70.6,21208.0,NA,NA,NA,NA,NA,False,NA,MSLN,Surface,higher,ENSG00000102854,0.5545067,0.6364568347786512,NA,MSLN,Q13421,False,19,19,measured,assay unavailable,0.26666666666666666,NA,23.0,NA,31,31
VOA14993,CC,Clear cell carcinoma,consensus,BC Cancer-OVCARE,VOA14993,1,True,False,True,False,False,NA,NA,NA,3.0,ch6,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,NA,NA,NA,NA,7562.0,10.3,NA,NA,NA,False,NA,TACSTD2,Surface,higher,ENSG00000184292,NA,NA,12.9127805683692,TACSTD2,P09758,False,24,24,assay unavailable,quantified,NA,0.3333333333333333,NA,21.0,31,31
VOA6861,CC,Clear cell carcinoma,consensus,BC Cancer-OVCARE,VOA6861,1,True,True,False,False,False,VOA6861p17,p17,NA,NA,NA,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,88.0,80.2,70.6,21208.0,NA,NA,NA,NA,NA,False,NA,TACSTD2,Surface,higher,ENSG00000184292,521.601,9.029566075040504,NA,TACSTD2,P09758,False,24,24,measured,assay unavailable,0.8333333333333334,NA,6.0,NA,31,31
VOA14993,CC,Clear cell carcinoma,consensus,BC Cancer-OVCARE,VOA14993,1,True,False,True,False,False,NA,NA,NA,3.0,ch6,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,NA,NA,NA,NA,7562.0,10.3,NA,NA,NA,False,NA,SLC34A2,Surface,higher,ENSG00000157765,NA,NA,11.5625633974091,SLC34A2,O95436,False,13,13,assay unavailable,quantified,NA,0.43333333333333335,NA,18.0,31,31
VOA6861,CC,Clear cell carcinoma,consensus,BC Cancer-OVCARE,VOA6861,1,True,True,False,False,False,VOA6861p17,p17,NA,NA,NA,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,88.0,80.2,70.6,21208.0,NA,NA,NA,NA,NA,False,NA,SLC34A2,Surface,higher,ENSG00000157765,99.92093,6.657081595892479,NA,SLC34A2,O95436,False,13,13,measured,assay unavailable,0.6666666666666666,NA,11.0,NA,31,31
